"","min.OR.overall","min.RR.overall","min.OR.perday","min.RR.perday","ve.susc","ve.infect"
"174",-0.320042738772711,-0.259761041967127,-0.265130574967979,-0.264822461480064,0.06,0.4
"175",-0.314123314048392,-0.256181236478919,-0.261453187288534,-0.261167689088351,0.06,0.42
"176",-0.308460202735362,-0.252316234961092,-0.257554226772293,-0.257315923008873,0.06,0.44
"177",-0.302350543138354,-0.248315311439589,-0.253506379596968,-0.253223586989852,0.06,0.46
"178",-0.29585446421967,-0.244088566218293,-0.24920937067024,-0.248976603897671,0.06,0.48
"179",-0.288981997134109,-0.23954165461713,-0.244682267091481,-0.244448520346552,0.06,0.5
"180",-0.281699779836477,-0.234890133036032,-0.239908624617572,-0.239693072580812,0.06,0.52
"181",-0.274370958778477,-0.229904522563109,-0.234846769760595,-0.234644100831207,0.06,0.54
"182",-0.266706597332286,-0.224597605579498,-0.22950160911906,-0.229312493992326,0.06,0.56
"183",-0.258379522213049,-0.21896828956423,-0.223823798007173,-0.223637089608845,0.06,0.58
"184",-0.249757650931186,-0.213002462939508,-0.217792816899703,-0.217635789706598,0.06,0.6
"185",-0.240656599026902,-0.206673277081126,-0.211389166254916,-0.211229960850133,0.06,0.62
"186",-0.231176801789138,-0.199942002768226,-0.20455376650452,-0.204411283873564,0.06,0.64
"187",-0.221092346213489,-0.192758369002172,-0.197262570709082,-0.197142687149594,0.06,0.66
"188",-0.21049697471845,-0.185062035454257,-0.189479568864908,-0.189366019929861,0.06,0.68
"189",-0.199376795199105,-0.176807721606772,-0.181142209529167,-0.181037574568817,0.06,0.7
"190",-0.187662880555778,-0.16798534100661,-0.172199735380681,-0.172105979237491,0.06,0.72
"191",-0.17528372735179,-0.158499444228992,-0.162593318167722,-0.162511694986775,0.06,0.74
"192",-0.162296984377261,-0.148289196479543,-0.152256487477421,-0.15218751980895,0.06,0.76
"193",-0.148611023372374,-0.137283920982298,-0.141115044475099,-0.1410585734685,0.06,0.78
"194",-0.134265081564973,-0.125412307900129,-0.129094244620647,-0.129042582124638,0.06,0.8
"195",-0.119216296485413,-0.112582388126493,-0.116101356621359,-0.116062131186613,0.06,0.82
"196",-0.10350086222431,-0.0987100738352316,-0.102043070735958,-0.102010795425635,0.06,0.84
"197",-0.0871025851876248,-0.0836896181935789,-0.086819631981492,-0.0867968816476135,0.06,0.86
"198",-0.0698643684311968,-0.0674227649981485,-0.0703305873953741,-0.0703150137469595,0.06,0.88
"199",-0.0514837254753622,-0.049821104228253,-0.0524734900897721,-0.0524629200232187,0.06,0.9
"200",-0.031756662924626,-0.0307867092705234,-0.0331518703303169,-0.0331463574870983,0.06,0.92
"201",-0.0105591498377269,-0.0102485848797025,-0.0122831594955075,-0.0122815607792284,0.06,0.940000000000001
"202",0.0121831544251185,0.0118313588026139,0.0101889708687255,0.0101878914739353,0.06,0.960000000000001
"203",0.0364971780954575,0.0354301726600693,0.0342863287704644,0.0342834970947528,0.06,0.980000000000001
"204",0.0623602219351911,0.0600176333419393,0.0599765547948867,0.059975671735858,0.06,1
"205",-0.320794286003379,-0.27782069390258,-0.283611447259463,-0.283240351746557,0.08,0
"206",-0.319663075032103,-0.276358716992203,-0.282014115219238,-0.281595081235325,0.08,0.02
"207",-0.317518866217203,-0.274726835276116,-0.280361403470539,-0.279875707044928,0.08,0.04
"208",-0.313901936864144,-0.272924256012048,-0.278633591989024,-0.278150064078346,0.08,0.06
"209",-0.312413136284632,-0.270948351558793,-0.27682759394045,-0.276398936803412,0.08,0.08
"210",-0.309790023791953,-0.269295427610426,-0.274939965522892,-0.274560118839992,0.08,0.1
"211",-0.306161230624553,-0.267461610693502,-0.272966870253972,-0.272630427994223,0.08,0.12
"212",-0.304479812665454,-0.26542466395747,-0.270969818598629,-0.270606197860361,0.08,0.14
"213",-0.300912423516019,-0.263181958748938,-0.268912270779358,-0.268483279508543,0.08,0.16
